text,class
" i bought this watch for a gift. overall the watch is nice but it doesn't work properly. we will have to send it to fossil for repair ",negative
" for $10 these were too good to pass up. first noticed that the gold balls are glued or welded into the stem.. the earring is not all one piece. first time i wore them lost one because the back slipped off though they weren't tugged or snagged to cause the earring to pop out. this is the second pair i bought... first set was fine. seems like the quality of construction may be slipping (or a different supplier?) ",negative
" though the design is cool the quality of this pendant is poor. they are so light and the color is strikingly white which makes them appear cheaper. they look like toys! i also bought the earrings set with the same design and i'm so disappointed with both. :-( only the packaging is of good quality in this product. i suggest that amazon collection makes white gold of a good quality with the similar design. ",negative
" though evenly matched the color of the amethysts are much lighter than the product image. both stones are feathered in areas and have visible blemishes though these aren't apparent if you are wearing them. about the quality you'd expect from mervyn's or sears on sale. not terrible but not great ",negative
" the color of the actually received ear rings was quite light. a darker amethyst color would have been much better and the picture on the computer screen was really deceptive since that showed a much darker colored amethyst. i won't buy jewelry from amazon again when it comes to a colored stone. hsn depicts their jewelry much better on the screen and provides better stone quality products ",negative
" after about 3 weeks of wearing the necklace the cord came loose from the metal fasteners. the glue used to keep the cord from unraveling was comepletely useless and the cord became unwound. the cord looks very nice but the quality is terrible ",negative
" it's doesn't look like as it appears in the photos...i bought it to gift my husband and i wz very disappointed !! i returned it back ! ",negative
" there two major problems with this watch. one auto-atomic setting do not work as described in manual. second unable to even set time using good old fashion manual way. returned to casio for repair hope they get it right ",negative
" if you check out the page you find this womens watch for $133.99 you will also find the mens version for just $98.00. why would this be? if anthing because of the gold plating and the mens watch being much larger it would cost more to make the mens watch. more size more gold more gold higher price to make. another little thing that bothers me is both watches are shown together with a little better together hook. better for who? there is not once cent in discount for buying together. i own an invicta and have had no trouble with it. i would buy the pair for my wife and i. but i am not going to toss out an extra $35.99 for the womens watch just because invicta and/or amazon feel they can charge more for if anything a product that would not cost as much to make. man it seems that the women would really get hot over this ",negative
" fair warning--had i had the benefit of some of the reviews that have since appeared about this company's watches i never would have bought one. do yourself a favor and read the reviews for the various models before wasting your money. the percentage of watches that work for any length of time is distressingly low ",negative
" i was very excited to get these earrrings for my daughter for christmas however upon opening found that one of the front of the earrings was dented. now i need to return them. other than the dent they were cute. even though they were only $25.00 there should be some quality control by the manufacturer ",negative
" i love the actually pendent the time it got there was great. but i really didn't like how they show the pendent on a chain because i bought it for the whole package (chain included). so when i got it i was shocked that it didn't included it. so buyers beware this supplier doesn't give you the actually chain which can cost you up to and extra $15-$30 even thou they adversities it in their ad. ",negative
" i purchased this watch for my granddaughter as her first watch. however it never worked. i don't know if it had a dead battery or if it's broken. the cost to replace the battery will be nearly as much as i paid for the watch. i will try to resolve the issue with amazon ",negative
" the earrings are nice & a great value at $30. however the posts are too thick for my liking and make my ears sore. the posts are not the typical size one might find in us stores. the posts are more typical of earrings that i have purchased in central & southern america; in fact this is where the earrings were made. i returned them ",negative
" this ring does not look as pictured. it arrived today (almost 3 weeks after i ordered it) and is extremely thin has tarnish marks and the metal filigree on the crown shows up only in random places. it looks like it came out of a vending machine and i'm obviously pretty disappointed. i won't be buying anything from this vendor again ",negative
" actually i only wore it 2 days to work. i took it off at night and put it on in the mornings. on the 3rd day i noticed the silver peeling off. i tossed it. i know it was inexpensive but that was down right cheap. never again!!!! ",negative
" make sure you read the fine print! this bracelet is silver toned not sterling silver. the embossing is also not the greatest - clear on the one side but hard to see the letters on the other ",negative
" first of all i would like to mention that the invicta brandthat exists and produces watches nowadayshas nothing to do with the swiss company that bears the same namebut went into bankruptcy a few decades ago.the actual invicta company is an american one and has bought the rights to use this name. the mechanisms are swiss made or made in japan.about the ones made in switzerland i cannot post an opinion.this particular model(9211)which i purchased this yearhas a japanese mechanism(made by myota i think).every 24 hours it loses some precious secondssoafter a few days it becomes a matter of minutes.in conclusion it has a problem with precisionbeeing unable to keep time with accuracy. i would advise anyone who wants to buy this watch to think twice.of course the discount price is attractive but the watch doesn't meet it's expectasions;i consider that a minimum dose of accuracy is required.the only good aspect about this watch is it's appearance. learn from other's mistakes... ",negative
" this watch looks good but the movement is terrible. i got this watch as a christmas gift but the 24 hour register was synchronized to the hour hand. i must warn you if you purchase this watch then don't be suprised if it doesn't work right. it may look like a rolex but it doesn't work like one ",negative
" i bought two of these one for each of my boys for christmas. one of the two watches never did keep time properly. i even changed the battery. an expensive fix that did not work. ",negative
" this item was a nice gift. the stones were a little discolored but that's what you get for only paying $100 for 1/4 carat earings online : ",negative
" one earring was damaged and instead of replacing it as i requested they fixed it. i will not be using amazon to purchase jewelry anytime soon ",negative
" i purchased two of these necklaces but the first one broke the second time i wore it. good thing i purchased two. ",negative
" the clip holds the money but the credit card holder is a bit scary. it just doesn't work that well. plus it is very heavy. if you put 5 bills in there even without the credit cards this thing is like putting a brick in your pocket. i would not recommend it ",negative
" as title says. there were kind of a water mark on the face of the watch maybe a leak from the solar panel? i did not exchange for another one because it is a cheap watch no point paying shipping back and forth. anyways the instructions were easy to understand buttons on the side a little bit hard to push. blue led on red face looks bad because of the dark face for the solar panel it is not easy to see. this watch is now sitting on my desk collecting dust i am just waiting to see when the solar panel stop leaking and the watch fail ",negative
" this watch was a disappointment; it has a huge dial but the chronograph functions are extremely tiny. it's also an extremely flashy watch - the image on the web-site makes it look classy - not so. additionally the watch is completely useless under low light conditions - it neither fluoresces nor does it have a light-up function. returned it after a week got my money back ",negative
" the product doesnt appear as is shown on the picture at all. its not red and its too small to even imagine.i knew it would appear bit smaller than on picture but this is beyond my imagination.the chain can break any time!!! and the stud!!!!!!!gosh...i cant even see it! now i'm gonna check if its really gold or not!! dont buy this product!save yourself the money ",negative
" don't buy this item...i was cheated...now i am gonna send it back. its really waste of your money. don't go by the price...i will never buy anything from this site ",negative
" like the looks of the watch. however it's very noisy and the clasp tends to come apart after removing the watch. the face can also be difficult to read in bright light (reflection) ",negative
" nice looking but with very serious design and/or manufacturing flaw - after less than 2 month of use in office environment glass cracked without any impact whatsoever. now i'll have to find out if skagen's customer service is any good. for $70 watch i certainly expected better quality. after reading other reviews for this models i realized that many other people had the same issue. bottom line -avoid!! ",negative
" these were the worst pair of earings i have ever seen. they were yellow from a mile away. amazon was very accomodating when i returned them but save yourself the hassle the price is too good to be true with these earings ",negative
" the quality of the stones is horrendous there are significant inclusions which are visible with naked eye from as far away as 3 feet. these diamons should have been turned into diamond dust not set into jewelery ",negative
" these diamonds shouldn't be offered in this size for jewelry. the imperfections in them seriously hinder the sparkling characteristics a diamond is known for. great price - but you get what you pay for ",negative
" i bought these for my young daughter. i understood the basics of diamond ratings and wasn't concerned with the inclusions they may have contained. i expected low quality stones with some particles visable to the naked eye. what i didn't expect was the cloudiness. although these weren't yellow in color they were the absolute worst pair of diamonds i had ever seen. there was no clarity just two milky looking stones. these diamonds should have been grinded and used for diamond dust or chips only ",negative
" i can see why they are priced so low i figured that they would look like the photo or something like it but the ones i received are very cloudy. i guess you get what you are paying for. as for the k clarity i have no idea what that is so i never thought they would look this bad ",negative
" i like itbut i don't like box's watch which obsolescence.i hope my boy friend will love it ",negative
" i purchased this watch as a birthday present for my husband. when he opened it he noticed that the days of the week were in both spanish and english and there doesn't seem to be a way to set it to just one or the other since there were limited instructions with the watch. by the time he looked at it there was no way for us to return it for a refund. not happ ",negative
" i returned the pearl earings. they were of very poor quality. the colors were not pretty and the shapes were not even. ",negative
" this watch does not work according to the manual. i have tryed to get it to work about 75 times my wife has tryed about at least 25-30 times and i took it to a jewler and even he could not get it to work. this watch is a piece of jun ",negative
" great watchmanual very bad.all depends on how much time you have to invest.it will take it because of sorry manual ",negative
" as per the review i decided to buy the item. i received it. it was very thick and ugly looking. it just looks good in the picture. as mentioned by someone it has plastic back cover which makes it worse. it also is very large and long. so to remove the small braces cost more. overall unhappy and returned to amazon with loss of money in shipping ",negative
" daylight savings time in the us has changed. these watches continue to use the old daylight savings time rules. while you may not mind having to manualy set the watch for a few weeks twice a year it kind of defeats the whole purpose ",negative
" bought this as a christmas gift for a cousin who is mentally handicapped. thought i could program it and have him enjoy the ease of reading the hands and the glow in the dark feature. however it is now january 18th and i still cannot program the watch. frustrate ",negative
" as a talisman it is good but the product/metal it is made of is critical ",negative
" it was larger than i expected from the images thicker too. in my opinion it didn't look as classy as the picture made me believe. i was very disappointed that the regular second hand was not in fact the large sweeping thin hand that's actually only for the stop watch. the regular second hand is one of the gimmicky minature dials in the middle. really with the extra bulk and my dislike of which hands were which and the cheaper look of the watch in person i never actually put it on before sending it back ",negative
" these were on my mom's wishlist so i bought them. they just arrived and i'm totally disappointed. i'd return them if it wouldn't cost me and i wasn't so lazy. they look pretty darn cheap for starters. also they came in a little plastic zipper bag inside of a little pseudo-velour bag with a price tag for $3.30 on it. save your money. it's best not to buy jewlery sight unseen ",negative
" the topaz earring is nice enough and probably worth $45 but be aware that it is smaller than it looks on the web page. the shaft that hangs between the two stones is about 5/16 long; the larger stone is about 3/16 wide and 1/4 high; the small stone is about 3/32 wide. essentially you get what you pay for ",negative
" i've purchased this watch a month ago and although it's nice the battery died already. very dissapointed.. ",negative
" i bought this to help change the leather strap on a beautiful watch. the v-notched end was too thick to fit - i used my pocket knife instead. maybe there's a knack to it but i didn't want to scratch my watch while practicing. the pointed end works very well for pressing in those tiny spring bars and the small recessed auto-set buttons for which a ball-point tip is too big and a needle is too clumsy. but you probably have something around the house that would work just as well (mini-screwdriver the point of a phillips head... ",negative
" i was very disappointed with how tiny this eternity cross is. i don't know if the measurements were in the description for it or not or if they were and i just didn't see or pay attention to them but this cross is so tiny it really seems like it's meant for a very young child. the necklace may be 18 but the pendant itself was so small not at all what i was looking for. so i'm going to give this as a gift for a niece. what i was really wanting was a larger heavier duty sterling silver eternity cross as a slide for an omega chain for an adult. never have found one yet. ",negative
" these earings were ok qualitybut were really small. they would be better suited for a child ",negative
" i was bought this present for valentines day. it's pretty. i do wear them for everyday us ",negative
" the diamonds are waaayyy too small. nothing like the picture. sent it back ",negative
" when i received the earrings i got very disappointed because they are very very small. i had to sell them my wife never wanted to wear them ",negative
" my order arrived quickly but upon first use the clasp broke on this necklace. since it wasn't an expensive item i joined the ends together with a small wire ring i already owned since it would have cost more to send the item back and have replaced...perhaps with another faulty item. as they say you get what you pay for! ",negative
" i recieved it promptly but it didn't work. i took it to walmart to get a battery and they recommended going to a jeweler. i did that buying a battery for twenty dollars and still cannot get the time to set right. i've read the manual over and over. my sons did the same. it looks nice but doesn't work and its been very aggravating. i wouldn't recommend it ",negative
" i got this as well under the assumption that it wasnt a high end watch. after wearing invicta's for a while this feels like a gum wrapper on my wrist. when i received it i noticed the small scratches all over the crystal. nothing deep but they really pick up the glare. atomic signal i am unable to get it to pick up one. in memphis tn i think i should be in range and all my atomic clocks sync up fine. i have tried it facing 4 different directions and also tried it outside to eliminate any interference from the house. still no good. basically i spent 30 dollars for a cheap watch that doesnt even have a backlight. lesson learned ",negative
" this looked great when it came but broke in only one day. really poor craftmanship. ",negative
" i bought these for my mom she was very excited about them when looking at the picture online when they arrived they turned out to be a big disappointment. the entire earring is tiny the pink stones so small they hardly stand out against the silver from not very far away at all they just look like a gray blob very hard to tell what shape. not impressed i suggest you look for something else. i will be returning these immediatel ",negative
" here is an example of the deception of photos on the net. the smallest photo they showed of these earings was 4x larger than the actual product!! we had to put them on our 9 month old grandaughter and even then they still appeared tiny on her baby ears!! rip off never buy jewlery from amazon again! ",negative
" this item cost alot of money but is a piece of crap. don't expect to put alot of money in this because it won't hold it. my clip broke after a week. don't buy this item you can find better ones for a lot less money. ",negative
" i have owned several timex ironman watches over the years. loved 'em all. i don't if amazon sent me one with an almost dead battery or if it's a flaw in the watch. however when punching through the modes everything is really slow. if i go to alarm i have to wait a few seconds for it to appear then wait a few more when i choose to modify it. not quick an easy like my other ironmans. great features though if it wasn't for this annoying delay 5 stars easy. so i don't know to blame amazon or timex for this. either way it is a problem that dropped the score for me ",negative
" it might just be really bad luck but after three fossil watches (1 x blue 2 x titanium) i've never managed to make them last more than two years each. they are really cool look great and the price is reasonable. but this is the third time fossil lets me down. and to get them repaired through the warranty is extremely painful. this time i'm looking for another brand as i feel i'm wasting my money ",negative
" i bought this watch as a christmas gift for my boyfriend after 2 weeks the round thing on top of the watch came off. the seller says it has to be sent to repair..and it will take 3 to 5 weeks to get back. i am so embarassed of the poor quality gift i chose and can't belive they will not replace it ..with an apology...their answer is just not acceptable. but there is nothing else i can do but write this review i have two fossil watches myself and after the good reviews i read i was happy with the gift..but now ...i am so disapointe ",negative
" i bought these for my 83 year old mom she loves jewelry and helped me pick these out. we thought it would be a good deal for the price. she was happy with the look of the stones when they arrived but as others have noted these stones are mounted at the end of a rather deep mount (almost 1/4 inch) which makes them rather top heavy. unless you have very thick and meaty ear lobes these earrings are going to droop downwards not sit pretty on your ear as you would expect. needless to say my moms ear lobes are very thin as soon as she put them in her ears they drooped downward at a 45 degree angle. she was very displeased with these and we sent them back for a refund ",negative
" the link remover is too flimsy to work. i can't even say it works poorly. one of the two tweezers is missing. the case is nice ",negative
" i ordered and paid for the watch band adjusting sizing link removing tool kit in box because of the picture of the tool box and i receive a totally different equipment than what is on the picture. please make the vendor send me the correct item i ordered. ",negative
" poor quality. one of the screw driver is already broken by using 2 times. ",negative
" this watch stinks. crappy manual the band is so big it could fit around my leg and when i received it it didn't work. now i have to pay extra to fix the band and to get it working. so much for what i thought was a nice looking inexpensive watch. i would've given it no stars if i could. don't make the same mistake i did - avoid this watch ",negative
" since the product was not received i cannot give a good review for this transactio ",negative
" i work in a bank where every year each of the branches does a stupid secret santa thing around christmas time. i bought this as a gift for the guy i got stuck with. the thing comes in a nondescript box and looks like a paper clip. if i had given this as a gift people would have thought i raided the supply closet at work for a present. total garbage ",negative
" i got the watches as party favors for my 10year old party guests but none of the kids or i have been able to reset it. my daughter has been frustrated with it and says some of her friends she inquired from had the same issue with the watch. the 2 little knobs can't be manipulated as indicated on the accompanying instruction sheet. needless to say the watches are beautiful and attractive but if kids for whom they were made can not reset them and use them then the purpose is defeated. the service was great but the product is unsatisfactory. phyllis unsatisfied custome ",negative
" i know these watches were inexpensive but 2 right out of the box were broken and others broke very easily. the clock functions well but the straps fall apart easily. ",negative
" one screw is gone ... amazon did not help me to replace it. therefore the key ring is not operational. the screws are very problematic . ",negative
" i love the size (small) and quality of these earrings that were ordered for my 6 year old. the website picture shows them as a blue and purple color. when i got them they were pink and green even the replacements they sent were pink and green. i have not been happy with their customer service on these and will not order jewelry again. ",negative
" i bought this for my daughter. the display was dead when it arrived. i took it a local jewelry counter for a new battery and the live battery let some display show but it was a garbled display and not able to be set or used. my daughter found a much cheaper watch at target with more features (a stopwatch!). this one wasn't even worth sending back ",negative
" the image really looks much better than the actual product. stones are quite brownish not red as one would expect of garnet. i wouldn't recommend anyone purchase this. ",negative
" they ship really fast..which is nice but ultimatly this item reminds me too much of something that would come out of a 25 cent machine...it is a piece of crap and it looks a lot dinkier in real life then it does in the pictures plus the stone is not garnet it more so resembles the color brown...like a turd ",negative
" i bought this ring for my girlfriend and 2 months later it completely fell apart. the bands on the ring actually broke apart and piece by piece the ring crumbled. poor quality i am not sure if it relates the thin bands that construct the puzzle ring or the fragile nature of the metal. i wish i had my 25 bucks back ",negative
" i bought this ring for my fiance since i have one and it's a terrible ring. we got it apart and then.....have not been able to get it back together it's been over a month now we went online to get the directions that didn't help either. plus the ring is so cheap it warmed up with the effort from our hands and bent out of shape. it is cheap and completely useless. ",negative
" someone please help me!! i have tried all the online help videos and guides and such and i still cannot figure out how to put this blasted ring together again! please help ",negative
" i didn't feel it was necessary to read the reviews before i purchased the watch~ this is disney and tinker bell!. the word flirt didn't bother me either because tinkerbell was a flirt. wow after reading the full product description with hot and saucy on the wrist band i was shocked that this watch is under the children's section. i needed this for my grand daughter's birthday. like it was said before i could have given this five stars but hot and saucy for a young girl oh no ",negative
" to much trouble to send back but arrived with a dead battery. ended up getting another gift and still carry watch around in trunk to get a battery put in it. watch looks nice - but it would be nice if it worked ",negative
" having read the other reviews i expected something small but decent. the particular pair i received had two defects: 1. one of the back clasps was bent so that it could not provide the correct tension on the post for reliable wear and 2. one of the stones had a very large visible black inclusion near the top. it was visible to my naked eye (i don't have a jeweler's loupe) even though it was partially hidden behind one of the mounts. maybe i just got a bad pair but given those two problems and the small size of the stones i sent them back and did not try again. ",negative
" the gold balls came off their posts four weeks after use. i would not recommend ",negative
" i bought these for my wife for christmas 2005. by august 2006 one of them fell apart. the gold loop is attached to the white gold loop by a very tiny and fragile weld which broke. it was not due to any abnormally rough handling. it would have cost $50.00 to have repaired. now they're throw-aways ",negative
" i was extrememly unhappy with this necklace. the picture on-line makes it look beautiful with light shining thru the amethyst (ha looks like cut glass not real amethyst!)/even putting it up to the natural light it looked dull/fake/plastic. i emailed and got a reply i would get a full discount just mail it back. well i mailed it back with insurance costing $6.55 after already paying shipping to have it sent to me. because i feel it was not advertised in a 'correct light' i asked for my shipping back for both charges and disputed the charge with my credit card company. the refund from amazon was only the cost of the necklace with neither shipping charge. i am still going to dispute the the shipping charges because this jewelry did not look like it did on the website ",negative
" earings are too big...no way of knowing they were as big as they are...nothing i will wear.... ",negative
" got the watch friday in the mail it looks cool and nice and teh band is shiny. the number lines glow nicely in the dark. i willoberserve the watch and come back in a month to say my opinions ",negative
" looked good on me this watch but i found out just in time that this did not carry seiko's regular two or three year warranty since it is a grey market watch. having read the many complaints about this seiko monster i decided i needed a warranty. so for this simple reason i had to return it to amazon right away and am in the process of exchnaging it with another brand that does have warranty. ",negative
" when i first got this watch i was thrilled. it has a nice movement and has very powerful illumination. the problem started when i went to the store to get the bracelet sized for my puny wrists. the guy asked me if this was some kind of overstock or gray market because the pins in the bracelet popped out like nothing. at the time i thought he was just po'd because i didnt buy the watch at the store. as soon as i was home though the bracelet fell apart. what a piece of junk! i regret buying this watch and i advise against it. ",negative
" very disappointed in the watch and amazon. the day/date did not work on delivery but i was unaware of it until the end of february when i tried to manually change the date. i found that it was broken at that time about a week after i received the watch. the day/date did change automatically each night. amazon refused t orepalce it because i had the band adjusted. seiko refused t oreplace it but said they would repair it and have it back to me in 3-4 weeks! had i purchased it from a reputable local store i could have exchanged it for a new watch. ",negative
" seiko has produced a loser of a watch. i really liked the design and seiko reputation of building a tough watch. i have purchased seiko divers in the past with no problems. i didn t know these watches were made in singapore. maybe this is why my monster doesn t work. who knows toke to authurized dealer for repair . he wanted $ 175. dont buy seiko ",negative
" pardon me if i also wish to review anonymously. i now can come forward with my negative experience with the seiko black monster too after seeing a handful of other ex-owners post theirs. i had my seiko black monster skx779k1 for about three weeks when it also did a freeze of all its movements and sounds. no sweep motion no tick-tock of any sort. but unlike someone else's experience mine never sprang to life anymore. after i shook it gently sideways to wind it up its second hand moved for only about 10-12 seconds then stopped again. i did this watch cpr several times but still always failed to resucitate it. my watch also was forming a light miss on the inside of its crystal a day after i used in while doing the dishes of all things. this is a divers watch? i already packed it up last thursday for return and dropped it off at my local usps and im still thinking whether to give it a chance and get another black monster or to get an entirely different model or brand. i must day that i am disappointed big time in this watch! i loved the way it looked and it really made me felt bad to return it. but to me a watch is an instrument first an accessory only second. ",negative
" i purchased this pair of earrings for my 5 year-old granddaughter to wear as the flower girl in my niece's wedding. when the purchase arrived they were too small for my granddaughter. therefore i had to return them ",negative
" i orginally purchased this for myself when it was $10. as soon as i received it i went to put it on and it broke right away. i was very disappointed so my boyfriend purchased another one for me for $10. i went to put that one on and it broke as well. i was never able to wear the necklace even once. i do not recommend this product to anyone!!!!! ",negative
" it turns out the metal in the stems irritates my wife's ears. i assume that the stems must not be white gold? other than that they are as expected. not perfect but not bad for the price ",negative
" okay i may be picky but these earrings are just too thin! i get the idea of delicate sparkly things but these don't look so much delicate as they do insubstantial. they are pretty and sparkly but the crystal looks like all i could afford was a thin slice. the picture also makes the crystals appear blue-ish but mine are more of a yellow-ish tint. not what i expected ",negative
" the earrings looked so pretty in the picture. in real life they look cheap. they look like plastic not like crystal. very disappointed. ",negative
" i read all these nice reviews and had a good impression of these earrings. i should never have bought these!! they look nothing like the picture. if you get these earrings you will be setting yourself up to be disappointed. they look cheap and tacky like something you pay 25 cents for out of a gum ball machine ",negative
" recieved my orange monster last september. i have worn it every day. i like the look and design of this watch but unfortunatly this watch does not keep very accurate time. often losing about five minutes a week. i have friends who also own the black monster and anonther orange monster and they have the same complaint. if i was to buy another watch i would not buy this seiko again ",negative
" i share my bad experience with seiko monster and some say im stirring up trouble. hey we're in a democracy when i last checked. duh. yeah maybe i am spreading the word about my faulty seiko monster but that's the truth and i want others to know that my seiko monster was defective. at least im not a dumb fanatic seiko monster cultist who idolizes this watch with a candle-lit shrine chants and ritual. for crying out loud it's just a watch an inanimate spiritless object that does not have feelings or civil rights! but it did hurt that i wasted $150 for this bad watch. i dont care about giving the watch a chance regulating breaking it in etc. what happened to my seiko monster is that it stopped which is not good so i returned for an exchange. ",negative
" the heart on the bracelet came off after the second day of wear. i do not recommend the product but the delivery and service were done well ",negative
" this thing is miniscule. it barely fits on my (petite) seven year old's neck. although the size is mentioned in the description the picture is misleading - the pendant itself is *smaller* than the image on the screen - and i consider that borderline false advertising. i should have been a more aware buyer so this review isn't to say the product is bad just be aware of how small it is - my daughter couldn't even find it in the bag when i gave it to her it was so small she thought i'd bought her an empty bag ",negative
" not what i expected. the box was handmade the instructions were some other tool. i have contacted seller and was not satisfied with response ",negative
" you can't use this watch opener alone. you need a vise to hold the watch. the gromets that go into the opener that are supposed to fit into the watch back grooves do not stay in. as soon as you turn it over they fall out. i've already lost two of them. it's a poorly made item and if it woldn't cost about as much to return it as keep it i would return it ",negative
" so beware for regular size watch's only. will not open a marine star or anything bigger ",negative
" it is constructed nicely however i could not open any of my watches with. the pegs kept falling out of it. hard to work with ",negative
" loved how quiet it runs have one double the price and twice the noise! only one problem the bottom turn table stopped within the first week!! yet the top turn table kept working. contacted amazon and they secured a return. only problem cost $11.00 to return. seems the quality control needs improving ",negative
" i bought this winder for my husband because of the price. but it is so loud!!!! we had to put it another room because it was way too noisy for the bedroom. i wouldn't recommend this. i guess sometimes you get what you pay for. ",negative
" i'm in the military it hard for me to purchase items especially stationed overseas. it's always been easy to order from amazon as always i never had any problems. the earrings were beautiful but the post was very hard to remove from the earrings when i pulled to remove the post while in my ear the post broke off from the ball earring. i only had them for two weeks ",negative
" earrings were very lightweight hollow and the hoops were very thin. not good quality i could have done better at walmart. i expected a lot better from amazon.com especially for $50 ",negative
" i still have not received this item not sure what is going on ? if you have any answers i would love to hear about it? thank ",negative
" i saw this cute photo and bought it for my girlfriend. when i got it it was the most horrible one ",negative
" this pendant is on the cheap looking side - but you get what you pay for i guess ",negative
" i liked the watch. i had to send the first one back because the date would never change. i got the second one a month ago and haven't been able to wear it for the past two weeks because the band gave me a skin rash. nice looking watch. too bad i have to carry it around in my pocket now ",negative
" i am very dissapointed with the band on this watch. the band absorbs and holds moisture. the last thing i want while exercising is a sopping wet watch band around my wrist. this could cause irration and a rash. what was the designer thinking? moreover even when dry the band is rough to the skin and not comfortable to wear. i have liked timex watches and felt the company was innovative and thoughtful in its watch designs. this watch band is neither innovative nor thoughtful in its design. i don't even want to wear this watch. i really don't think i should have to buy a new watch band for my brand new watch. furthermore timex customer service is like dealing with a bunch of idiots. it is as if they read about 2 words of your email and then reply. i guess they think that if they keep feeding you stupid answers long enough you'll eventually go awa ",negative
" big plus was the large digits on display: i'm short-sighted and run without my specs so i needed that. the feel of the watch is nice. however one big problem with it was that moving my wrist around kept poking the buttons and changing the display without warning (maybe because i have big wrists). bigger problem yet: it took all of about 4 months for the plastic strap to break ",negative
