text,class
" i was on a search to find a great oolong tea. this set contained one somewhat weak black tea two green teas and a very strong jasmine. i much prefer black teas so tried one cup of each and then gave these away. perhaps if you have a more exotic tea taste this would be a better choice for you than it was for me. so far the very inexpensive bigelow oolong has come closest to a true oolong black cup of tea. ",negative
" fine cut diamond texture whatever it's missing the thing vital to really be popcorn salt and that is the flavor that true popcorn salt has. slightly buttery very strong and always good. there;s a trend lately to re-lable regular salt as popcorn salt this trend needs to stop ",negative
" glitter was pretty on my pastries but i was under the impression it would be flavorless and it actually had a yucky aftertaste ",negative
" i used to give omaha steaks as gifts thinking i'm giving a good gift. recently i ordered these for myself and was embarassed. these steaks are yummy but are tiny don't let the pictures fool you. they are small to begin with & after cooking are laughably tiny. add the cost for the expensive shipping and handling i could have done much better at my local butcher/supermarket. save your money. ",negative
" the photo shows four containers each 9oz. the product is actually only one 9oz. container. very misleading possibly intentionally so. also shipping costs $10 for a $9 product? give me a break! on top of it all the chocolate is nothing special you can get 16oz containers of ghiradelli drinking chocolate in specialty shops for $10 which tastes better ",negative
" 24 teabags isn't even enough for one pot. perhaps my tastes run contrary to the mainstream but i like my tea very strong. ",negative
" this tea is very bitter. it is very aromatic. it does smell nice and exotic but it was just too much for my simple tastebuds ",negative
" this was a bomb. it was guilt inducing because i had to throw it away. i got two of themlike an idiot. ",negative
" good black tea is not hard to find - just hard to find in your grocery store. the honest truth is that tazo really does not make many if any really good teas. this in particular is one of their worst. it is bitter and leaves a bad taste in your mouth immediately. every time i get stuck in a starbucks with friends i am faced with the choice - tea chai or steamed milk. every time i cave in and give tazo another chance it disappoints me. if you want a good black tea look for a local tea shop and let them brew you a few cups. try a keemun a lapsang and maybe golden dianhong and see how it goes. if you really want to kick it up a notch look for a cameroonian black. take it from someone who really loves tea this stuff is not worth your time. and when you get good tea please don't brew it in your coffee maker ",negative
" we were really looking forward to having some omaha steaks again. unfortunately every steak had grissle and was very tuff. the flavor was not what we remebered either they were very bland. i could have gotten a better steak at the supermarket and saved myself alot of money ",negative
" i proceeded to open the container then pour it all over myself in front of my girlfriend. imagine my embarassment with poweder all over myself. needless to say the evening did not go as planned. though i did take a bath and the water did taste an awfully lot like milk. my fault though for thinking the company was nido powde ",negative
" i think coffee taste is more of a personal preference but i was not fond of this decaf coffee. i always drink my coffee black and i didn't get the rich coffee taste that i like with the don francisco brand. illy has a great reputation so i am guessing their non-decaf coffee is outstanding they just need a little work with the decaf ",negative
" i ordered this item on december 13 but it's not deilivered yet as of jan 3. horrible shipping!! ",negative
" i ordered this item in late november got a shipping notice on december 4th and it took until december 22 for it to arrive to it's destination. customer service blamed problems with fedex fedex blamed the company. i would not order from this company. i got the runaround for 2 weeks and item arrived 1 week later than what it was promised ",negative
" i love the popcorn but the shipping costs are insane!! a total rip off. wabash valley farms or amazon or whoever is charging the shipping is out of their mind. 5 stars for the popcorn. minus 4 stars for the terrible cost associated with shipping. argh...yes the popcorn is tender and luscious and it melts in your mouth like you're eating cooked grasshoppers but come on!!! can't you ship this product for less? shipping the 6 pound bag is even worse. *sigh* too bad really ",negative
" i can't believe that this is considered a gourmet food. in the uk long life uht milk is an excellent standby when you run out of fresh milk and it tastes much better than this parmalat. ok brands differ and taste is a matter of preference and there are mixed opinions as to whether the uk uht milk tastes as good as pasturised but many are just as happy with it as fresh. there is no way that the parmalat could be mistaken for fresh milk. and how expensive. just add gourmet to the title and up the price! in the uk it is similar or cheaper than fresh milk. i can't understand why it is not more available in the usa. ",negative
" i expected parmalat brand milk but received a different brand altogether. i also excpected this to have a long shelf life not just a few months. i thought the product was overpriced for what i received ",negative
" first i was sent strange spring roll wrappers that were totally moldy - melissa responded quickly and kindly - and proceeded to send me wrappers that were totally stale dry and were crubling out of the not so air tight plastic wrapping - just dreadfu ",negative
" omaha doesn't grade their meat - consequently you don't know if you are purchasing prime choice select or worse and from what we have sampled i doubt that it is any better then select and maybe not that as we've had some skunked steaks ",negative
" i really prefer the shoumei green tea which is one of the only green teas i can find that isn't bitter. the white tea doesn't have any sweetness to it and isn't much fun to drink. i only drink it because it's good for me. ",negative
" i was thoroughly disappointed with the product. they were not all that tender and certainly not worth what i paid for the produc ",negative
" these steaks dribble like a basketball and shoot like a dream. they should include a backboard rim and net with these. and some cheerleaders wouldn't hurt either ",negative
" paying 25% for shipping and handeling was a bit much. ",negative
" i have multiple concerns with this product. out of the box they really do look fresh and plump like they do in the picture. however you soon notice the lack of instructions. none. the only documentation at all is a california sticker... with no reference to a web site. nada. my grapes broke quickly. when i received them they looked just like the picture. but in a couple days i started noticing they weren't as plump and were shriveling. withing a week many were brown and certainly lacked freshness. it was so bad that i was in shock and i kept holding up the picture next to them to compare because i couldn't believe it. it was like they were deteriorating right before my eyes. within a month they looked awful. they looked like moldy raisins. really moldy. not recommended ",negative
" frankly it was a bit grapey. wouldn't dare try stuffing it into any orifice probably too fragile ",negative
" i thought that i would try out this product since i've tried a number of green teas and after trying this i was not at all impressed with it by any means. i don't recommend this product...there was no kind of flavor to this to me and i've been all over the orients. just my opinion but hope someone else enjoys it better than i did ",negative
" i thought my fresh vine ripe tomatoes would come whole. instead as you can see from the graphic i received five whole tomatoes and one that had already been cut in half. yes half a tomato. the half-tomato in my package had dripped on the other ones and made quite a mess. in fact the resulting tomato juice ate a hole through the box they arrived in making a puddle on the floor that was small but big enough to trip the ups guy. he fell and fractured his spine and now he's paralyzed. his wife and nine children are destitute all thanks to these vine-ripened tomatoes. in conclusion i think this packaging is just a bad idea ",negative
" so really how important is this fruit err vegetable err fruit? i mean i like salsa and a hamburger just would not be the same without catsup err ketchup. come to think of it spaghetti would not be the same either. but eating these things plain is just silly. the taste is not so bad but the consistency is all messed up. in conclusion if you must have some tomato in your diet please purchase tomato related products and not the tomato itself. and why the heck isn't it spelled tomatoe? why is the e added for the plural form? what gives ",negative
" i have mixed feelings about tomatoes. one time a tomato ate both of my parents. on the other hand they can be made into apple pies. in conclusion i am a tomato ",negative
" i find tomatoes to be overrated. they're an important ingredient in many things obviously but as an item themselves they're of limited use. they taste alright but their texture is too screwed up. the only time i ever really eat raw tomatoes is on hamburgers and sandwiches and usually prefer not to have them as they destablilize the whole sandwich so that it all falls apart. obnoxious that is ",negative
" thought it would make a cute easter gift no one else thought so kids are in counselling now. apparently i'm the only one with a sense of humor in this family. at least it's a hit with the dog one extra star for that. i'm way too scared to even try to take it away from him he loves it so much. 'heh ok sirfluffles' i say to him 'it's your fresh whole rabbit.' ",negative
" what is wrong with you? this is not something i want to see a picture of let alone buy. (with or without its head and feet.) my actual rating is zero or negative stars but my comments couldn't be posted without a star ",negative
" these big internet companies are so good at screwing their companies. do you see how this scam works??? they sell fresh whole rabbit but when i order it there's no head or skin! can you believe?! uh excuse me do you think a headless rabbit missing its entire skin is whole??? this is totally misleading. i have contacted amazon 3 times asking them to please send me the skin feet and head so i have the complete set and they have ignored me or sent me autoresponder emails that don't specifically address the missing head and so on. what they do i'm guessing is then resell rabbit heads rabbit feet and bloody rabbit scalps on another part of this website and it's all pure profit. what a crock ",negative
" listen up i'm a big-boned gal who has yo-yoed in weight over the years. thankfully i'm currently on a downswing and i hope it stays that way. which brings me to hostess twinkies which are very overrated. this is one of my least favorite hostess snacks if you want the truth. the sponge cake is stinky ",negative
" twinkies were once great but once they sold out to the big corporation the quality went down the drain. it's too artificial tasting to be considered food. there are a ton of chemicals and additives added. you call this cake ",negative
" come on this is 2005. twinkies aren't food anymore than cheez whiz is. twinkies were invented back in the 30s before science understood the impact of the product on our bodies. consider that in those days doctors were used to advertise cigarettes in magazines. everyone needs a sugar fix every once in a while - i'm just as guilty of that - but eating twinkies is practically self-mutilation. look at the ingredients list and do some reading. yikes! everyone's family deserves tasty snacks that happen to be healthy too. sorry hostess that definitely does not include twinkies ",negative
" i placed an order for these beans on march 4th. on the 14th march i did not receive them as yet. since the occasion that i needed them for has passed i sent an email to jr to find out the problem. when he said they were not shipped as yet i send 2 e-mails requesting cancellation-i sent 2 to make sure they got it and stopped the mailing of my item! he responded very hastily as used sarcastic comments in his reply.the tone of his reply made me feel as if i did not know anything!! i am very disappointed with this whole ordeal! ",negative
" where does it say does not include spices? i was under the impression that the traditional spice box would come with the traditional spices. very disappointed. even thought the stainless steel container is nice. ",negative
" these are thin solid and dark patties that cook up tasteless juiceless and unburgerlike in texture. completely unlike their advertising and unlike the regular beef patties sold at the supermarket. i will never buy omaha steak products again. omaha steaks' customer representatives are very nice however. i wrote to them telling them about my experience and they said i could dump the scary meat and they would credit my card. thank you very much. ",negative
" years ago these really were ground steak burgers with a very special flavor. the most recent shipment i had was tastless with an unusually chewy texture. not recommended ",negative
" these were good burgers...but i did not find anything special about them. i could go to the supermarket near my house and get some ground beef and make my own for a lot less money and they would taste just as good. these are good but not worth the extra money ",negative
" i usually love hot pockets but tried this two weeks ago. terrile!!!!!!!!!!!!!!! i was going to rate it o stars. they taste terrible. the packaging is deceiving. there is too much cheese with sprinkles of sausage and egg. nasty!!!!!!!!!!! ",negative
" when eating a lattuce is not a meat! bad of the eating for if meat is better! chew like paper and green grossing bleck! lacking blood with tendons is a meal very not proper for a dinosaur meal. ",negative
" after tuesday no more lettuce. never again. i can still see that lady's eyes.. ",negative
" why doesn't amazon allow people to sell *used* lettuce? i bought to kill a mockingbird used last week via amazon and saved about 90% off the original price. i don't think it's fair that they are not allowing us to sell it used via paypal. ",negative
" i know of many people who would love to have an elk carcass for their holiday. birthdays christmas hanukkah martin luther king jr.'s birthday observed grandparent's day etc. are all holidays where a big piece of elk meat could brighten someone's day. but watch out!!! i have often used amazon in order to buy gifts and with this elk carcass gift wrapping is not an option. i would think that half the fun of giving a huge elk carcass would be watching the look on your loved one's face as he or she unwrapped the slab of meat. unfortunately amazon does not think this is so. with the weight of the product i think it is going to be difficult to wrap this on my own. sorry uncle tino no elk carcass for columbus day this year! ",negative
" i'm very disappointed with this gift basket. the contents that i received were far less than as pictured and described in the web page. the price of $85.90 is very expensive for this item and definitely not worth it. i ordered 4 items from wine country gift baskets totalling over $230 and had to return all items due to unsatisfactory products/contents. i spent almost $30 in shipping charges which they refused to reimburse me. i would never order or recommend wine country gift basket to anyone ",negative
" these used to be the best sardines before bumble bee bought king oscar. 16-24 delectable brisling sardines in excellent olive oil. couldn't find better. now instead of the advertised small 16-24 brislings you will find 8-11 large bony and un-appetizing sardines. crap ",negative
" product ad states 64 pods but they only shipped 16! when i called all they would refund was shipping then i complained and they said $8 refund. so i asked for a return shipping lable and full refund. the csr amy was kind but her options from j&r were unacceptable ",negative
" personally i didn't like tazo's red bush tea very much. i've had three different kinds of roiboos teas so far and this was my least favorite. it seems like the flavor of roiboos itself is pretty mild and in the case of tazo's tea the flavors they add completely overwhelm it. i found that i had to remove the tea bag very quickly lest the cup become overwhelmingly lemony and acidic. perhaps other pallettes will appreciate the strength of those flavors. personally i couldn't wait to finish off the box so that i could find a better flavor. the other roiboos teas i have tried have had a milder mix of flavors to a much better overall effect. my personal choice right now is trader joe's orange spice roiboos which apparently can be bought in some but not all of their stores. the orange flavor is much less up front than the lemon & citrus flavors in the tazo tea and the overall effect of the other spices is very nice. the tea smells a lot like other spiced foods (pumpkin pie comes to mind) and is very nice on a gloomy afternoon. also unlike the tazo version the flavor of this tea gets nicer and richer the longer you let the tea bag steep although even just pouring the water over the bag and leaving it for a few seconds is usually enough for a nice cup. admittedly there are a lot of other roiboos teas i have not tried but this one has been a hit with me because of its good flavor and local availability. keep in mind this is not the opinion of a tea expert and i have never had roiboos tea in africa so i don't know what it is supposed to taste like in its authentic presentation. just my personal taste ",negative
" i bought this 5 pound bag of candy because the reviews were all beaming about how good these are and i've bought the gummy frogs in the past and liked those so i thought i'd give this a try. these are gross... not only that but they're huge. i recommend the gummi frogs as a better alternative. now i know to try out the candy in a smaller portion firstbefore investing in my next 5 pound bag. 2 stars because well it's not fair to people who like these to say they are absolutely terrible but still now i have a 5 pound bag of candy i have to get rid of ",negative
" i use a variety of sugar free products including others by wisconsin cheeseman. how they missed so badly on this product amazes me. normally i like the items from thier list but this fudge sent me into a severe bout of bathroom time after eating 2 small pieces. don't know if it was a batch with the ingredient mix off but once was enough to have me tossing the rest of the package in the trash. no way would i recommend this for anyone. try the cherry cordials or the peanut butter cups but leave this off your list. ",negative
" okayi just got my ups delivery. 1) these are half the size of a real donut. 2) dryoverpriced and just terrible 3) no flavor and horrible presentation 4) totally overpriced and not worth the money i recently bought the low fat donuts recommended in the oct issue of every day with rachael ray holey donuts ultra low fat gourmet donuts and these low fat donuts are full sizepacked and shipped in a frozen cooler and oh my god they have real cinnamon buns that have 3 grams of fatdouble the size and yes they cost more but everything arrives frozen thaws soft and moist and just blows this way ",negative
" this was disappointing. someone should define light roast or standardize the roasting process. ",negative
" at first glance the price sounds reasonable but wait until you peel these things. strip off the peel and there's another one. peel that off and there's another one underneath. i removed the third one and you guessed it another one beneath that. frustrated i kept peeling and peeling and finally right at the center was this tiny little sliver. after peeling the whole bag i was left with only about an ounce of this pungent vegetable. talk about a ripoff ",negative
" i tried changing the setting to english but it only had spanish and french. every time i plug in my headphones the shell peeled off. changing the music sucked and it only gave me 3 hours of battery life. i was better of with an ipod or even a cheesy zune. beware buyers this product sucks ",negative
" two weeks ago i saw these onions out behind the denny's on 81st. they were speaking perfect english. not a hint of a spanish accent. then just yesterday i was at a rendition of cat on a hot tin roof and i saw one of them pretending to be german. it's all a sham!!! these are simple american onions trying to be pretentious and pass themselves off as something exotic. don't believe the hype ",negative
" boycott these onions! they are taking away all the jobs from perfectly good white onions! ",negative
" i hate all kinds of onions i don't want to have stank breath. the taste of those vegtables don't even taste right. i wish god never made onions ",negative
" we were happy with the gift baskets that were delivered. however the company only has one distribution center in california which is obviously not efficient to deliver to the east coast. despite the company's ambitions to become a national company they are not willing to pony up the money to get additional distribution facilities outside of california. this maybe great if you live in california. however i live in florida and i ordered on december 22 and my basket did not arrive until january 4th. i think that would be unacceptable in anyone's view espescially since giving a gift basket can be time-sensitive. until this company gets with the program and gets other distribution facilities i would stay away unless you want to wait two weeks for a simple basket to be delivered. ",negative
" i must write quickly for soon soon the milk will awake within me again. and it will know but you will have been warned. the milk will punish me but it knows it must have a host so i will survive - tormented and trapped within myself but i will continue to exist though i live in nightmare now. beware! beware the milk! for the milk lives. i too was once tempted by the smooth sweet creaminess of tuscan milk 1 gallon 128 fl oz. i too read the odes written to its greatness not knowing that the milk was forcing it's hosts to speak of the goodness of the milk that the milk might spread that it might acquire new hosts in which to live and to spread to spread to spread. beware the sweet seduction of the milk! ah - the bittersweet memories of that first gallon. how smooth how creamy how exhilarating uplifting fulfilling and enlightening! how free it made me feel! but then came that terrible moment when in my home town supermarket i reached for a gallon of store brand milk and felt the pain. oh the pain the milk can give! equal in intensity to the first joy that the milk can give but pain! terrible pain! words alone cannot describe it! and now i live in fear of the milk a slave to the joy and the pain it can give. oh the shame i feel that i must come to the milk like a supplicant begging for the pleasure it can give. and the cowardice that i feel knowing that i cannot face the pain it can inflict. beware! do not let this be your fate! and now i must go... the milk stirs inside me and it will be angry. but perhaps perhaps it is not too late for you... ",negative
" try saving your money and buying ordinary half and half mix it with some whole milk and pour in a tiny bit of sugar. mmmmmmmmmmmm. how do you know all these reviews weren't planted ",negative
" we bought these for the senseo- the ad says it is compatable but its not! buyers beware- i almost broke my senseo trying to use them- the senseo got stuck closed and i had to wait for it to let go of the vacuum. i think its because there is more coffee in these. ",negative
" the java podz coffee pads do not fit well in the senseo coffee maker. one pad fits in the two cup holder. it makes a very weak cup of coffee. i ordered a large supply and will probably throw them out ",negative
" beware - this is a spice mixture only not actual harissa not what i intended to order but the ad wasn't clear. harissa as i ate it in north africa was a pulpy mash of peppers and spices some oil. fantastic stuff. i recommend mustapha's moroccan harissa - it was terrific. ",negative
" + creme filling + i suppose they taste alright if you can prevent them from falling apart all over the floor. - you cannot prevent them from falling apart all over the floor. - they are unbelievably dry ",negative
" this stuff is tasty but caveat emptor: it's glorified non-dairy creamer which is the first ingredient. enjoy this with artificially flavored vanilla sandwich cookies ",negative
" amazon's site made no mention of the products not being in stock charged my cc and then mocafe held the order without mentioning that shipment was backordered. my first call to mocafe received a nebulous response along with an offer to leave a voice mail for someone else and my second call (upon not receiving a return call) revealed the real facts. having a credit card charged for items not in stock is *not* cool. beware ",negative
" how can the vendor justify this kind of pricing? it must be all shipping. do yourself a favor. go out of your house and hunt for hot sauces. while it would be too simple to say they're all the same there's definitely not a lot of difference within the same manufacturer. i'd get this for a gift for someone but for myself i'd rather enjoy the hunt. ",negative
" i have liked other hot pockets like the ham and cheese is not bad if you spread some mustard on them but i think they over spiced the pizza hot pockets. they taste kind of strong and weird ",negative
" i am a huge fan of most of the tasty bite meals. i'd tried almost all of the indian flavors and had never been let down. i ordered the green curry meal without ever having tried it before based on the good reviews here and my past experiance. unfortuantly i found it to be nearly inedible. the rice is clumpy and unpleasant and the spicing was just... wrong. i love thai green curry and this tasted nothing like it. i still recommend the indian tasy bite meals but track a box of this down and sample it before you commit to a pack of 6. ",negative
" don't order a case of these if you've never had them. i love all the other haribo gummies i've had (bears cokes burgers etc) but found these weird and didn't enjoy them. i'm probably just not used to crunchy things on my gummies but i gave the rest of the case away ",negative
" i really like these and was excited i found them online although after receiving them they were to stale and hard to eat ",negative
" this carafe was initially perfect. the design is attractive and simple and it fits well in my bag in the mornings. the problem then began that keeping liquids boiling hot would cause it to explode after being jostled in on my morning commute. i attempted to remedy this by cooling my morning coffee or tea in the morning although i felt this was partially defeating the purpose of bringing in my own coffee or tea. then it became an issue that the liquid would either leak or shoot out of the carafe after being turned the slightest direction other than straight up. i'd suggest saving yourself the trouble and tea stained clothes by buying a different carafe altogether ",negative
" my flask leaks when i carry it in my bag to work. i am very disappointed with it. i am shopping for a new one and will look for another brand ",negative
" my daughters (ages 6 and 8) pleaded with me for tuscan 2% milk for christmas. i ordered two gallons nearly a week ago and they did not arrive on time. the girls were heartbroken. and how embarrassing to have to leave a cup of water and cookies for santa. ",negative
" i know that american milk has been suffering from quality issues for the past few decades. many american milks are catching up in initial quality and now have better warranties than foreign milks. yes union wages and pensions have driven up the cost of american milk but hey we're talking about cows jobs here people! buy american! ",negative
" this is guido sarduci from the royal tuscan office of copyrights and internets and i must insist that you cease any and all sales of theese so called tuscan whole milks immediately or i will have to come there and beat you up and then my mom came upstairs and saw me fighting and she got scared and said you're moving with your auntie and uncle in bel air! i whistled for a cab and when it came near the license plate said fresh and it had dice in the mirror. if anything i could said that this cab was rare but i though nah forget it. yo home to bel air! i pulled up to the house about 7 or 8 and i said to the cabbie yo home smell ya later! looked at my kindom i was finally there i could sit on my throne as the prince of bel air. love me sum tuscan ",negative
" i love salmon and was very excited about having salmon jerky to keep at the office and take camping and skiing... until i got my order and found out that both flavors contain msg which gives some people (like me) whopping headaches. my wife thinks this jerky is okay apart from the processed texture and our dogs love it but i won't be trying it. to be fair you might like this product if you aren't sensitive to msg but the seller should have noted that it contains a modern ingredient that causes adverse reactions in some people instead of describing it as being made the old fashioned way. on the plus side shipping was very quick. ",negative
" i must admit the first one that i ate was indeed tasty though slightly undercooked. however the second one was much less cooked and when i went to cut it blood from the sausage squirted into my eye. now i am beside myself because i remembered my wife going on one night about blood- borne diseases. i am scared that i might have unwittingly acquired hepatitus or aids. my wife told me not to worry because the animals the sausages are made from do not carry these diseases. i refuse to take any chances because my wife and i are having problems. i still await the results from the blood tests my doctor ordered. ",negative
" these are thin solid and dark patties that cook up tasteless juiceless and unburgerlike in texture. completely unlike their advertising and unlike the regular beef patties sold at the supermarket. i will never buy omaha steak products again. omaha steaks' customer representatives are very nice however. i wrote to them telling them about my experience and they said i could dump the scary meat and they would credit my card. thank you very much. ",negative
" years ago these really were ground steak burgers with a very special flavor. the most recent shipment i had was tastless with an unusually chewy texture. not recommended ",negative
" these were good burgers...but i did not find anything special about them. i could go to the supermarket near my house and get some ground beef and make my own for a lot less money and they would taste just as good. these are good but not worth the extra money ",negative
" we do not like this product. my whole family thinks it tastes awful. granted we've never used flavored popcorn salt of any brand before. we all agree that we prefer plain salt on our popcorn. and if we want butter we melt butter. this product just taste like chemicals ",negative
" i got a bad batch and was sent another to try out. it was better but still not what i expected. on both the pieces were very small for some reason. i was looking for some like the ones in mres which are excellent. these may be ok for cooking but not what i wanted. this company's customer service is top notch though ",negative
" purchased as a gift to client. the gift basket arrived on time and the recipient commented on how nice the basket was. but one of the cups was chipped. they could not find the chipped piece so we don't know whether or not the break occurred during shipping or not. either way better care could have been used to insure that the cups are in perfect condition upon arrival. i'm very disappointed especially since this was sent as a gift to an important client. starbucks coffee and mugs are great corporate gifts but i would choose another company to handle the gift baskets. will not use them again ",negative
" i ordered this item on december 13 but it's not deilivered yet as of jan 3. horrible shipping!!! ",negative
" i ordered this product expecting at least a pound of candy. there is no information on the bag to tell you the amount you are getting but it is not near a pound. each jelly bean is separately wrapped to make it look like more and when you get in at them they do not taste good. you are probably used to jelly bellies but these are not jelly bellies. there flavor is medium at best. i would not buy this product again ",negative
" i just purchased this product from a high-end specialty gift shop for $6.00. it was the exact same item ",negative
" what is the weight of this product? am i paying for one ounce or one pound? it's frustrating to be about to place an order and find vital info is missing. catherine in yuma a ",negative
" it never ceases to amaze me that you brits eat this horrific dog food-paste. no wonder you lost the revolutionary war. it's clear from you eating marmite and vegamite that you never deserved those colonies anyway ",negative
" i bought this to give my love life some spice. this product is horrible amazon lies; it does not support aa batteries. it only takes triple a and it only has one setting ",negative
" i just paid $15 dollars (after shipping) for this cheap looking plastic popcorn bowl that was supposed to be a gift for my sister. bah humbug!!! did i mention it is plastic. it's plastic!!!! ",negative
" these are definitely not my thing. the chocolate and toffee flavor is way too strong; if i'd have wanted hot cocoa i would have ordered it! however if you're a big fan of gas-station cappuccinos - these may appeal to you ",negative
